__time,/CtrlOut/AngComp/x,/CtrlOut/AngComp/y,/CtrlOut/AngComp/z,/CtrlOut/AngRef/x,/CtrlOut/AngRef/y,/CtrlOut/AngRef/z,/CtrlOut/AngVelRef/x,/CtrlOut/AngVelRef/y,/CtrlOut/AngVelRef/z,/CtrlOut/KaiErr/x,/CtrlOut/KaiErr/y,/CtrlOut/KaiErr/z,/CtrlOut/Kbar,/CtrlOut/Sigma/x,/CtrlOut/Sigma/y,/CtrlOut/Sigma/z,/CtrlOut/Time,/CtrlOut/Torq/x,/CtrlOut/Torq/y,/CtrlOut/Torq/z,/mavros/imu/data/angular_velocity/x,/mavros/imu/data/angular_velocity/y,/mavros/imu/data/angular_velocity/z,/mavros/imu/data/angular_velocity_covariance[0;0],/mavros/imu/data/angular_velocity_covariance[0;1],/mavros/imu/data/angular_velocity_covariance[0;2],/mavros/imu/data/angular_velocity_covariance[1;1],/mavros/imu/data/angular_velocity_covariance[1;2],/mavros/imu/data/angular_velocity_covariance[2;2],/mavros/imu/data/header/seq,/mavros/imu/data/header/stamp,/mavros/imu/data/linear_acceleration/x,/mavros/imu/data/linear_acceleration/y,/mavros/imu/data/linear_acceleration/z,/mavros/imu/data/linear_acceleration_covariance[0;0],/mavros/imu/data/linear_acceleration_covariance[0;1],/mavros/imu/data/linear_acceleration_covariance[0;2],/mavros/imu/data/linear_acceleration_covariance[1;1],/mavros/imu/data/linear_acceleration_covariance[1;2],/mavros/imu/data/linear_acceleration_covariance[2;2],/mavros/imu/data/orientation/pitch_deg,/mavros/imu/data/orientation/roll_deg,/mavros/imu/data/orientation/w,/mavros/imu/data/orientation/x,/mavros/imu/data/orientation/y,/mavros/imu/data/orientation/yaw_deg,/mavros/imu/data/orientation/z,/mavros/imu/data/orientation_covariance[0;0],/mavros/imu/data/orientation_covariance[0;1],/mavros/imu/data/orientation_covariance[0;2],/mavros/imu/data/orientation_covariance[1;1],/mavros/imu/data/orientation_covariance[1;2],/mavros/imu/data/orientation_covariance[2;2]
1680429013.551911,0.000000,0.000000,0.000000,10.238345,5.146701,11.459156,0.089827,-0.178693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.105000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.554385,0.000000,0.000000,0.000000,10.263951,5.095446,11.459156,0.088932,-0.179140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.110000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.559481,0.000000,0.000000,0.000000,10.289300,5.044062,11.459156,0.088035,-0.179582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.115000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.561800,,,,,,,,,,,,,,,,,,,,,-0.000777,0.000567,-0.000097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60975.000000,1680429013.556146,0.027586,-0.523120,9.819585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240779,-3.043924,-0.999642,0.026554,0.002172,0.310166,-0.002650,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.564391,0.000000,0.000000,0.000000,10.314391,4.992553,11.459156,0.087136,-0.180020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.120000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.569361,0.000000,0.000000,0.000000,10.339225,4.940919,11.459156,0.086235,-0.180454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.125000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.574184,0.000000,0.000000,0.000000,10.363800,4.889161,11.459156,0.085332,-0.180882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.130000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.579564,0.000000,0.000000,0.000000,10.388116,4.837281,11.459156,0.084426,-0.181307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.135000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.582191,,,,,,,,,,,,,,,,,,,,,-0.001503,0.001949,-0.000575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60976.000000,1680429013.576146,0.043548,-0.504644,9.793848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240484,-3.044288,-0.999641,0.026557,0.002169,0.308778,-0.002638,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.584821,0.000000,0.000000,0.000000,10.412173,4.785281,11.459156,0.083519,-0.181727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.140000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.589850,0.000000,0.000000,0.000000,10.435969,4.733160,11.459156,0.082609,-0.182142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.145000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.594599,0.000000,0.000000,0.000000,10.459504,4.680921,11.459156,0.081697,-0.182553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.150000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.599793,0.000000,0.000000,0.000000,10.482778,4.628565,11.459156,0.080784,-0.182959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.155000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.603541,,,,,,,,,,,,,,,,,,,,,-0.001095,0.002727,-0.000367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60977.000000,1680429013.601146,0.034948,-0.520161,9.800474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.239937,-3.044484,-0.999642,0.026559,0.002164,0.306952,-0.002622,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.605917,0.000000,0.000000,0.000000,10.505790,4.576094,11.459156,0.079868,-0.183361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.160000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.610177,0.000000,0.000000,0.000000,10.528539,4.523508,11.459156,0.078950,-0.183758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.165000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.614393,0.000000,0.000000,0.000000,10.551025,4.470809,11.459156,0.078030,-0.184150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.170000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.619972,0.000000,0.000000,0.000000,10.573247,4.417998,11.459156,0.077109,-0.184538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.175000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.621436,,,,,,,,,,,,,,,,,,,,,0.001135,-0.001917,-0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60978.000000,1680429013.616146,0.037435,-0.502966,9.802490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.241825,-3.043550,-0.999642,0.026551,0.002181,0.306584,-0.002618,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.625181,0.000000,0.000000,0.000000,10.595204,4.365077,11.459156,0.076185,-0.184921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.180000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.629934,0.000000,0.000000,0.000000,10.616897,4.312047,11.459156,0.075259,-0.185300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.185000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.634519,0.000000,0.000000,0.000000,10.638325,4.258908,11.459156,0.074332,-0.185674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.190000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.639248,0.000000,0.000000,0.000000,10.659486,4.205664,11.459156,0.073403,-0.186043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.195000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.642124,,,,,,,,,,,,,,,,,,,,,0.000761,-0.000672,0.000602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60979.000000,1680429013.636147,0.036360,-0.510041,9.815812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.241988,-3.043528,-0.999642,0.026551,0.002182,0.306275,-0.002616,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.645419,0.000000,0.000000,0.000000,10.680381,4.152314,11.459156,0.072472,-0.186408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.200000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.652036,0.000000,0.000000,0.000000,10.701009,4.098860,11.459156,0.071539,-0.186768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.205000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.654652,0.000000,0.000000,0.000000,10.721370,4.045304,11.459156,0.070604,-0.187123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.210000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.660464,0.000000,0.000000,0.000000,10.741462,3.991647,11.459156,0.069667,-0.187474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.215000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.664511,,,,,,,,,,,,,,,,,,,,,0.000168,-0.003345,0.000244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60980.000000,1680429013.661146,0.043902,-0.536061,9.784401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.241633,-3.044239,-0.999642,0.026557,0.002179,0.305189,-0.002606,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.665369,0.000000,0.000000,0.000000,10.761286,3.937890,11.459156,0.068729,-0.187820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.220000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.669740,0.000000,0.000000,0.000000,10.780841,3.884035,11.459156,0.067789,-0.188161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.225000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.674888,0.000000,0.000000,0.000000,10.800126,3.830082,11.459156,0.066848,-0.188498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.230000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.679849,0.000000,0.000000,0.000000,10.819141,3.776034,11.459156,0.065904,-0.188830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.235000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.682333,,,,,,,,,,,,,,,,,,,,,0.000202,-0.000518,0.001171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60981.000000,1680429013.676147,0.041432,-0.532348,9.798761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.241107,-3.044461,-0.999641,0.026559,0.002174,0.305161,-0.002606,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.685143,0.000000,0.000000,0.000000,10.837886,3.721891,11.459156,0.064959,-0.189157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.240000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.690022,0.000000,0.000000,0.000000,10.856360,3.667656,11.459156,0.064013,-0.189479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.245000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.694230,0.000000,0.000000,0.000000,10.874563,3.613328,11.459156,0.063064,-0.189797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.250000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.700295,0.000000,0.000000,0.000000,10.892493,3.558910,11.459156,0.062115,-0.190110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.255000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.705471,,,,,,,,,,,,,,,,,,,,,-0.000754,0.001499,-0.001055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60982.000000,1680429013.696147,0.025583,-0.508062,9.809850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.241920,-3.043405,-0.999642,0.026550,0.002181,0.303562,-0.002592,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.707448,0.000000,0.000000,0.000000,10.910152,3.504404,11.459156,0.061163,-0.190418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.260000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.709495,0.000000,0.000000,0.000000,10.927537,3.449809,11.459156,0.060211,-0.190722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.265000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.714406,0.000000,0.000000,0.000000,10.944650,3.395129,11.459156,0.059256,-0.191020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.270000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.719648,0.000000,0.000000,0.000000,10.961488,3.340363,11.459156,0.058300,-0.191314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.275000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.724611,0.000000,0.000000,0.000000,10.978053,3.285514,11.459156,0.057343,-0.191603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.280000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.730644,0.000000,0.000000,0.000000,10.994343,3.230583,11.459156,0.056384,-0.191887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.285000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.735209,0.000000,0.000000,0.000000,11.010359,3.175571,11.459156,0.055424,-0.192167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.290000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.740090,0.000000,0.000000,0.000000,11.026099,3.120480,11.459156,0.054463,-0.192442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.295000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.742118,,,,,,,,,,,,,,,,,,,,,0.000606,-0.001372,-0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60983.000000,1680429013.731147,0.039952,-0.522698,9.781233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.242007,-3.042955,-0.999642,0.026546,0.002181,0.302186,-0.002580,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.746726,0.000000,0.000000,0.000000,11.041563,3.065311,11.459156,0.053500,-0.192712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.752228,0.000000,0.000000,0.000000,11.056752,3.010065,11.459156,0.052536,-0.192977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.305000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.753913,0.000000,0.000000,0.000000,11.071664,2.954744,11.459156,0.051570,-0.193237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.310000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.759660,0.000000,0.000000,0.000000,11.086299,2.899349,11.459156,0.050603,-0.193492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.315000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680429013.762348,,,,,,,,,,,,,,,,,,,,,0.001130,-0.002603,0.000093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60984.000000,1680429013.756147,0.055201,-0.520462,9.776990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.242642,-3.042939,-0.999642,0.026546,0.002186,0.300411,-0.002564,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
1680429013.764533,0.000000,0.000000,0.000000,11.100657,2.843881,11.459156,0.049635,-0.193743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.320000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
